FILENAME: HD127334_2015-06-08T22-58-26.002_cb.spec.fits
OBJECT: HD127334
TELESCOP: TNG     
INSTRUME: HARPN   
DATE-OBS: 2015-06-08T22:58:26.002
EXPTIME:        450.00000
RA:        14.493558
DEC:        2.7863941
WS_BARY:       -16004.583
WS_BJD:        2457182.5
       5480.3444       8691.4053
       5480.3619       9296.5352
       5480.3794       9409.1982
       5480.3969       9561.5029
       5480.4143       9644.8389
       5480.4318       9784.5176
       5480.4493       9728.4971
       5480.4668       9718.7588
       5480.4842       9715.0439
       5480.5017       9771.5000
       5480.5192       9733.5039
       5480.5366       9603.8672
       5480.5541       9766.7783
       5480.5715       9937.9160
       5480.5890       9868.6787
       5480.6065       10029.074
       5480.6239       10078.655
       5480.6414       9901.1172
       5480.6588       10026.227
       5480.6763       10037.413
       5480.6937       9905.5264
       5480.7112       9791.8799
       5480.7286       9795.2461
       5480.7461       9961.4268
       5480.7635       10068.885
       5480.7810       9873.5596
       5480.7984       10026.424
       5480.8159       9993.3740
       5480.8333       10069.225
       5480.8508       10058.020
       5480.8682       10101.043
       5480.8857       10025.134
       5480.9031       10347.020
       5480.9205       10078.686
       5480.9380       10355.471
       5480.9554       10164.823
       5480.9728       10348.730
       5480.9903       10328.951
       5481.0077       10354.611
       5481.0251       10132.729
       5481.0426       10099.064
       5481.0600       10079.559
       5481.0774       10064.799
       5481.0949       10224.245
       5481.1123       10331.360
       5481.1297       10267.676
       5481.1471       10138.983
       5481.1645       10071.425
       5481.1820       10147.308
       5481.1994       10242.412
       5481.2168       10290.275
       5481.2342       10518.188
       5481.2516       10082.863
       5481.2691       10458.953
       5481.2865       10461.688
       5481.3039       10391.013
       5481.3213       10335.629
       5481.3387       10436.170
       5481.3561       10606.183
       5481.3735       10559.990
       5481.3909       10586.459
       5481.4083       10577.750
       5481.4257       10736.136
       5481.4431       10592.541
       5481.4605       10626.783
       5481.4779       10648.720
       5481.4953       10719.234
       5481.5127       10586.370
       5481.5301       10671.166
       5481.5475       10830.706
       5481.5649       10606.370
       5481.5823       10702.677
       5481.5997       10873.188
       5481.6171       10863.271
       5481.6345       10893.260
       5481.6519       10732.652
       5481.6693       10869.098
       5481.6867       10823.087
       5481.7040       10854.763
       5481.7214       10736.506
       5481.7388       10737.186
       5481.7562       10778.921
       5481.7736       10799.126
       5481.7910       10718.722
       5481.8083       10768.292
       5481.8257       10615.150
       5481.8431       10954.740
       5481.8605       10946.084
       5481.8778       10960.512
       5481.8952       10808.130
       5481.9126       10866.266
       5481.9299       11066.229
       5481.9473       10934.062
       5481.9647       10962.689
       5481.9820       10960.980
       5481.9994       10954.837
       5482.0168       11007.583
       5482.0341       11110.101
       5482.0515       10991.273
       5482.0689       11291.950
       5482.0862       11192.674
       5482.1036       11221.798
       5482.1209       11307.815
       5482.1383       11112.580
       5482.1557       11077.279
       5482.1730       11481.058
       5482.1904       11229.212
       5482.2077       11304.853
       5482.2251       10989.097
       5482.2424       10995.646
       5482.2598       10503.415
       5482.2771       10363.813
       5482.2944       9834.5479
       5482.3118       9651.6396
       5482.3291       9798.8252
       5482.3465       10011.994
       5482.3638       10554.389
       5482.3812       10837.628
